SiteName,MonitorDate,Concentration,ItemUnit
汐止,20200316,16,μgm3
宜蘭,20200316,14,μgm3
忠明,20200316,26,μgm3
新竹,20200316,16,μgm3
平鎮,20200316,16,μgm3
嘉義,20200316,21,μgm3
恆春,20200316,14,μgm3
陽明,20200316,12,μgm3
南投,20200316,24,μgm3
馬公,20200313,10,μgm3
萬華,20200313,14,μgm3
忠明,20200313,32,μgm3
三義,20200313,22,μgm3
臺東,20200313,9,μgm3
平鎮,20200313,13,μgm3
屏東,20200313,19,μgm3
基隆,20200313,9,μgm3
彰化,20200313,32,μgm3
豐原,20200313,34,μgm3
前金,20200313,26,μgm3
士林,20200313,12,μgm3
苗栗,20200313,23,μgm3
汐止,20200313,11,μgm3
美濃,20200313,16,μgm3
竹東,20200313,12,μgm3
南投,20200313,42,μgm3
朴子,20200313,36,μgm3
馬祖,20200313,15,μgm3
恆春,20200313,10,μgm3
宜蘭,20200313,10,μgm3
新營,20200313,45,μgm3
金門,20200313,29,μgm3
新竹,20200313,16,μgm3
嘉義,20200313,53,μgm3
桃園,20200313,14,μgm3
斗六,20200313,50,μgm3
花蓮,20200313,9,μgm3
陽明,20200313,-2,μgm3
臺南,20200313,39,μgm3
板橋,20200313,12,μgm3
花蓮,20200310,9,μgm3
忠明,20200310,8,μgm3
三義,20200310,6,μgm3
馬公,20200310,8,μgm3
金門,20200310,11,μgm3
桃園,20200310,8,μgm3
馬祖,20200310,12,μgm3
平鎮,20200310,9,μgm3
板橋,20200310,7,μgm3
斗六,20200310,12,μgm3
恆春,20200310,6,μgm3
新竹,20200310,9,μgm3
朴子,20200310,11,μgm3
美濃,20200310,14,μgm3
前金,20200310,16,μgm3
豐原,20200310,7,μgm3
萬華,20200310,8,μgm3
汐止,20200310,8,μgm3
彰化,20200310,9,μgm3
屏東,20200310,20,μgm3
臺東,20200310,9,μgm3
臺南,20200310,11,μgm3
宜蘭,20200310,8,μgm3
苗栗,20200310,7,μgm3
士林,20200310,7,μgm3
陽明,20200310,3,μgm3
竹東,20200310,6,μgm3
新營,20200310,12,μgm3
基隆,20200310,9,μgm3
嘉義,20200310,12,μgm3
彰化,20200307,24,μgm3
臺東,20200307,5,μgm3
美濃,20200307,16,μgm3
基隆,20200307,17,μgm3
馬祖,20200307,29,μgm3
朴子,20200307,29,μgm3
宜蘭,20200307,11,μgm3
豐原,20200307,19,μgm3
萬華,20200307,22,μgm3
屏東,20200307,22,μgm3
陽明,20200307,10,μgm3
苗栗,20200307,17,μgm3
竹東,20200307,17,μgm3
新營,20200307,31,μgm3
士林,20200307,18,μgm3
忠明,20200307,18,μgm3
馬公,20200307,11,μgm3
板橋,20200307,24,μgm3
桃園,20200307,27,μgm3
新竹,20200307,22,μgm3
花蓮,20200307,7,μgm3
平鎮,20200307,25,μgm3
金門,20200307,25,μgm3
南投,20200307,27,μgm3
嘉義,20200307,33,μgm3
斗六,20200307,40,μgm3
汐止,20200307,18,μgm3
前金,20200307,28,μgm3
三義,20200307,20,μgm3
臺南,20200307,23,μgm3
恆春,20200307,5,μgm3
馬公,20200304,10,μgm3
忠明,20200304,15,μgm3
板橋,20200304,7,μgm3
宜蘭,20200304,5,μgm3
新營,20200304,24,μgm3
美濃,20200304,25,μgm3
恆春,20200304,5,μgm3
斗六,20200304,26,μgm3
南投,20200304,20,μgm3
三義,20200304,16,μgm3
竹東,20200304,9,μgm3
苗栗,20200304,15,μgm3
屏東,20200304,35,μgm3
陽明,20200304,-2,μgm3
前金,20200304,33,μgm3
臺東,20200304,5,μgm3
萬華,20200304,7,μgm3
朴子,20200304,20,μgm3
新竹,20200304,10,μgm3
汐止,20200304,7,μgm3
士林,20200304,6,μgm3
豐原,20200304,15,μgm3
花蓮,20200304,6,μgm3
彰化,20200304,16,μgm3
平鎮,20200304,9,μgm3
馬祖,20200304,23,μgm3
金門,20200304,20,μgm3
基隆,20200304,7,μgm3
桃園,20200304,8,μgm3
南投,20200301,31,μgm3
金門,20200301,31,μgm3
竹東,20200301,18,μgm3
馬祖,20200301,12,μgm3
宜蘭,20200301,12,μgm3
平鎮,20200301,25,μgm3
基隆,20200301,13,μgm3
陽明,20200301,7,μgm3
花蓮,20200301,10,μgm3
臺東,20200301,7,μgm3
新竹,20200301,20,μgm3
恆春,20200301,6,μgm3
汐止,20200301,14,μgm3
屏東,20200301,18,μgm3
前金,20200301,16,μgm3
美濃,20200301,17,μgm3
苗栗,20200301,21,μgm3
板橋,20200301,19,μgm3
