年度,機構名稱,訓練地址,班級名稱,訓練職類大類,開訓日期,結訓日期,受訓資格,訓練時數,就業率
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,電工配線及可程式控制PLC基礎（桃園）,工業類,2015/9/15,2015/12/3,高中/職(含)以上,440,91.67%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,汽車塗裝技術(台南),工業類,2015/4/22,2015/9/25,高中/職(含)以上,896,91.67%
2015,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,資訊電子應用(高雄),工業類,2015/7/14,2015/12/30,專科(含)以上,900,91.67%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,創意商品網路行銷(台南),工業類,2015/4/22,2015/9/25,高中/職(含)以上,896,91.67%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,廣告(行銷)設計,工業類,2015/1/21,2015/6/26,高中/職(含)以上,840,91.67%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路, 汽車修護(商用車輛維修),工業類,2012/3/26,2012/9/24,高中/職(含)以上,1018,92.00%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,視覺傳達設計,商業類,2012/1/12,2012/6/27,高中/職(含)以上,900,92.00%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,室內設計實務(工程組),商業類,2012/7/12,2012/12/18,高中/職(含)以上,900,92.00%
2012,勞動力發展署雲嘉南分署,臺南市官田區工業路40號,商業空間設計,商業類,2012/7/18,2013/6/28,高中/職(含)以上,1920,92.00%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,冷凍空調節能,工業類,2013/1/3,2013/6/20,不限,900,92.00%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,民宿經營管理實務,商業類,2013/5/16,2013/7/18,國中(含)以上,360,92.00%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,節能規劃師,工業類,2013/10/7,2014/3/25,專科(含)以上,900,92.00%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,堆高機操作,工業類,2013/1/3,2013/1/11,不限,56,92.00%
2013,行政院勞工委員會職業訓練局青年職業訓練中心,桃園市楊梅區幼獅路二段三號,網路工程師,工業類,2013/7/10,2013/12/19,專科(含)以上,900,92.00%
2013,行政院勞工委員會職業訓練局青年職業訓練中心,桃園市楊梅區幼獅路二段三號,電機自動控制,工業類,2013/4/17,2013/9/27,專科(含)以上,900,92.00%
2013,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,水電,工業類,2013/7/17,2013/12/27,高中/職(含)以上,928,92.00%
2013,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,數位設計(網頁設計＆網路工程),工業類,2013/7/17,2013/12/27,高中/職(含)以上,928,92.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,倉管與堆高機實務班,工業類,2014/8/12,2014/9/16,不限,200,92.00%
2014,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,綠生活與裝修工程實務,工業類,2014/1/22,2014/6/27,高中/職(含)以上,848,92.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區幼獅路２段3號,嵌入式Android系統班（幼獅）,工業類,2015/4/14,2015/9/22,專科(含)以上,900,92.00%
2015,勞動力發展署桃竹苗分署,新竹縣竹北市福興路576號,烘焙食品專班(西點蛋糕組)(新竹),醫事護理及家事類,2015/11/9,2015/12/10,國中(含)以上,192,92.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,中餐烹調專班(地方小吃創業實務組)(桃園),醫事護理及家事類,2015/11/16,2015/12/25,國中(含)以上,240,92.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,綠能與節能實務（桃園）,工業類,2015/10/5,2016/3/21,專科(含)以上,900,92.00%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,複合式餐飲服務實務班,商業類,2015/3/3,2015/5/21,高中/職(含)以上,440,92.00%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,建築空間繪圖(台南),工業類,2015/10/21,2016/3/25,高中/職(含)以上,856,92.00%
2015,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,國際貿易行銷,商業類,2015/1/6,2015/3/18,高中/職(含)以上,350,92.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路,廣告設計實務,藝術類,2012/3/19,2012/9/4,高中/職(含)以上,920,92.31%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,網路商務技術應用設計,工業類,2012/11/5,2013/4/30,高中/職(含)以上,936,92.31%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,廣告設計實務,藝術類,2012/9/10,2013/3/5,高中/職(含)以上,920,92.31%
2012,勞動力發展署北基宜花金馬分署,花蓮縣壽豐鄉平和村吳全10號,銲接(花蓮),工業類,2012/9/3,2012/12/17,國中(含)以上,600,92.31%
2012,勞動力發展署桃竹苗分署,桃園市復興區中正路20號,原住民西點飲料製作,醫事護理及家事類,2012/10/4,2012/11/7,不限,192,92.31%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助機械製圖,工業類,2013/11/4,2014/1/24,高中/職(含)以上,464,92.31%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦裝修青年職訓專班,工業類,2013/7/29,2013/10/25,高中/職(含)以上,464,92.31%
2013,勞動力發展署北基宜花金馬分署,花蓮縣壽豐鄉吳全10號,水電(花蓮),工業類,2013/8/26,2013/12/10,國中(含)以上,600,92.31%
2013,勞動力發展署北基宜花金馬分署,花蓮縣壽豐鄉平和村吳全10號,銲接(花蓮),工業類,2013/1/2,2013/4/26,國中(含)以上,600,92.31%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,多媒體設計,商業類,2013/1/3,2013/6/20,專科(含)以上,900,92.31%
2013,勞動力發展署桃竹苗分署,新竹市田美三街2號,商業文書處理實務班,商業類,2013/11/4,2013/12/27,高中/職(含)以上,320,92.31%
2013,行政院勞工委員會職業訓練局青年職業訓練中心,桃園市楊梅區幼獅路二段三號,電子產品設計,工業類,2013/1/29,2013/7/18,專科(含)以上,900,92.31%
2013,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,烘焙,商業類,2013/7/17,2013/12/27,高中/職(含)以上,928,92.31%
