"15歲以上人口數","總計","未婚","有偶","離婚","喪偶","男","未婚","有偶","離婚","喪偶","女","未婚","有偶","離婚","喪偶"
"105年/ 宜蘭縣 / 85-89歲","5,714","119","1,998","97","3,500","2,553","79","1,546","61","867","3,161","40","452","36","2,633"
"105年/ 宜蘭縣 / 90-94歲","2,034","55","462","34","1,483","813","40","382","18","373","1,221","15","80","16","1,110"
"105年/ 宜蘭縣 / 95-99歲","410","15","55","7","333","147","9","45","5","88","263","6","10","2","245"
"105年/ 宜蘭縣 / 100歲以上","71","6","13","-","52","33","6","13","-","14","38","-","-","-","38"
"105年/ 新竹縣 / 年齡別總計","455,791","146,187","248,097","34,163","27,344","232,186","82,550","127,065","17,036","5,535","223,605","63,637","121,032","17,127","21,809"
"105年/ 新竹縣 / 15-19歲","36,013","35,870","131","11","1","18,919","18,893","23","3","-","17,094","16,977","108","8","1"
"105年/ 新竹縣 / 20-24歲","38,210","36,532","1,462","212","4","19,914","19,363","479","72","-","18,296","17,169","983","140","4"
"105年/ 新竹縣 / 25-29歲","35,210","27,247","7,156","793","14","18,473","15,516","2,665","290","2","16,737","11,731","4,491","503","12"
"105年/ 新竹縣 / 30-34歲","40,079","17,038","20,632","2,305","104","20,149","10,661","8,630","851","7","19,930","6,377","12,002","1,454","97"
"105年/ 新竹縣 / 35-39歲","50,090","11,359","34,112","4,375","244","24,586","7,284","15,290","1,978","34","25,504","4,075","18,822","2,397","210"
"105年/ 新竹縣 / 40-44歲","46,712","6,629","34,409","5,223","451","23,674","4,016","17,114","2,492","52","23,038","2,613","17,295","2,731","399"
"105年/ 新竹縣 / 45-49歲","42,602","4,384","31,607","5,834","777","22,108","2,552","16,410","3,037","109","20,494","1,832","15,197","2,797","668"
"105年/ 新竹縣 / 50-54歲","40,197","2,981","30,393","5,505","1,318","21,063","1,805","16,215","2,864","179","19,134","1,176","14,178","2,641","1,139"
"105年/ 新竹縣 / 55-59歲","34,403","1,775","26,279","4,440","1,909","18,130","1,070","14,378","2,381","301","16,273","705","11,901","2,059","1,608"
"105年/ 新竹縣 / 60-64歲","28,235","978","21,642","2,857","2,758","14,395","571","11,878","1,506","440","13,840","407","9,764","1,351","2,318"
"105年/ 新竹縣 / 65-69歲","19,521","568","14,574","1,403","2,976","9,693","332","8,089","812","460","9,828","236","6,485","591","2,516"
"105年/ 新竹縣 / 70-74歲","13,575","299","9,577","551","3,148","6,584","181","5,527","354","522","6,991","118","4,050","197","2,626"
"105年/ 新竹縣 / 75-79歲","13,660","232","8,709","341","4,378","6,521","140","5,269","210","902","7,139","92","3,440","131","3,476"
"105年/ 新竹縣 / 80-84歲","9,108","115","4,667","176","4,150","4,182","63","3,003","104","1,012","4,926","52","1,664","72","3,138"
"105年/ 新竹縣 / 85-89歲","5,631","108","2,195","85","3,243","2,704","59","1,636","50","959","2,927","49","559","35","2,284"
"105年/ 新竹縣 / 90-94歲","2,066","52","499","42","1,473","900","31","411","26","432","1,166","21","88","16","1,041"
"105年/ 新竹縣 / 95-99歲","412","15","49","7","341","163","10","44","3","106","249","5","5","4","235"
"105年/ 新竹縣 / 100歲以上","67","5","4","3","55","28","3","4","3","18","39","2","-","-","37"
"105年/ 苗栗縣 / 年齡別總計","483,011","157,274","252,875","36,054","36,808","248,464","89,141","132,181","19,296","7,846","234,547","68,133","120,694","16,758","28,962"
"105年/ 苗栗縣 / 15-19歲","34,088","33,950","127","11","-","17,900","17,869","29","2","-","16,188","16,081","98","9","-"
"105年/ 苗栗縣 / 20-24歲","39,835","37,956","1,620","256","3","20,718","20,128","515","75","-","19,117","17,828","1,105","181","3"
"105年/ 苗栗縣 / 25-29歲","39,581","30,805","7,826","935","15","20,740","17,347","3,027","365","1","18,841","13,458","4,799","570","14"
"105年/ 苗栗縣 / 30-34歲","42,542","19,822","20,056","2,543","121","21,835","12,211","8,587","1,029","8","20,707","7,611","11,469","1,514","113"
"105年/ 苗栗縣 / 35-39歲","45,328","12,839","27,841","4,352","296","23,305","8,200","13,035","2,048","22","22,023","4,639","14,806","2,304","274"
"105年/ 苗栗縣 / 40-44歲","39,616","7,350","26,647","5,082","537","20,642","4,530","13,338","2,718","56","18,974","2,820","13,309","2,364","481"
"105年/ 苗栗縣 / 45-49歲","40,507","5,258","28,562","5,766","921","21,607","3,220","15,063","3,212","112","18,900","2,038","13,499","2,554","809"
"105年/ 苗栗縣 / 50-54歲","42,614","3,646","31,278","5,972","1,718","22,535","2,253","16,650","3,379","253","20,079","1,393","14,628","2,593","1,465"
"105年/ 苗栗縣 / 55-59歲","40,961","2,396","31,145","4,983","2,437","21,588","1,542","16,926","2,729","391","19,373","854","14,219","2,254","2,046"
"105年/ 苗栗縣 / 60-64歲","35,168","1,441","26,648","3,460","3,619","18,249","842","14,747","2,045","615","16,919","599","11,901","1,415","3,004"
"105年/ 苗栗縣 / 65-69歲","24,829","813","18,450","1,538","4,028","12,331","473","10,315","936","607","12,498","340","8,135","602","3,421"
"105年/ 苗栗縣 / 70-74歲","17,288","421","12,147","584","4,136","8,479","248","7,074","395","762","8,809","173","5,073","189","3,374"
"105年/ 苗栗縣 / 75-79歲","17,486","251","11,060","319","5,856","8,399","132","6,679","208","1,380","9,087","119","4,381","111","4,476"
"105年/ 苗栗縣 / 80-84歲","12,308","154","6,144","144","5,866","5,567","76","3,843","81","1,567","6,741","78","2,301","63","4,299"
